The Captain's Honor,"Dvorkin, David & Dvorkin, Daniel",1990,0671741403,Tie-In Novels,,-,-,,t/DVOR1/,,DVOR1,,,,D,,,,,,y,,,,,
The Kobayashi Maru,"Ecklar, Julia",1989,0671658174,Tie-In Novels,,-,-,,t/ECKL1/,,ECKL1,,,,E,,,,,,y,,,,,
The Starless World,"Eklund, Gordon",1978,9781852865054,Tie-In Novels,,-,-,,t/EKLU1/,,EKLU1,,,,E,,,,,,y,,,,,
A Flag Full of Stars,"Ferguson, Brad",1991,1852863544,Tie-In Novels,,-,-,,t/FERG1/,,FERG1,,,,F,,,,,,y,,,,,
The Last Stand,"Ferguson, Brad",1995,0671501054,Tie-In Novels,,-,-,,t/FERG1/,,FERG1,,,,F,,,,,,y,,,,,
The fearful summons,"Flinn, Denny Martin",1995,9780671890070,Tie-In Novels,,-,-,,t/FLIN1/,,FLIN1,,,,F,,,,,,y,,,,,
Vulcan's Glory,"Fontana, D. C.",1989,0671656678,Tie-In Novels,,-,-,,t/FONT1/,,FONT1,,,,F,,,,,,y,,,,,
How Much for Just the Planet? : a Star Trek Novel,"Ford, John M.",1987,0671629980,Tie-In Novels,,-,-,,t/FORD1/,,FORD1,,,,F,,,,,,y,,,,,
The Final Reflection,"Ford, John M.",1990,0671707647,Tie-In Novels,,-,-,,t/FORD1/,,FORD1,,,,F,,,,,,y,,,,,
Alien,"Foster, Alan Dean",1979,0708816789,Tie-In Novels,,-,-,,t/FOST1/,,FOST1,,,,F,,,,,,y,,,,,
Aliens,"Foster, Alan Dean",1986,0708831826,Tie-In Novels,,-,-,,t/FOST1/,,FOST1,,,,F,,,,,,y,,,,,
Legacy,"Friedman, Michael Jan",1991,0671744682,Tie-In Novels,,-,-,,t/FRIE3/,,FRIE3,,,,F,,,,,,y,,,,,
Call to Darkness,"Friedman, Michael Jan",1989,0671687085,Tie-In Novels,,-,-,,t/FRIE3/,,FRIE3,,,,F,,,,,,y,,,,,
"Double, Double","Friedman, Michael Jan",1989,0671661302,Tie-In Novels,,-,-,,t/FRIE3/,,FRIE3,,,,F,,,,,,y,,,,,
Fortune's Light,"Friedman, Michael Jan",1991,9781852863586,Tie-In Novels,,-,-,,t/FRIE3/,,FRIE3,,,,F,,,,,,y,,,,,
Faces of Fire,"Friedman, Michael Jan",1992,0671749927,Tie-In Novels,,-,-,,t/FRIE3/,,FRIE3,,,,F,,,,,,y,,,,,
Shadows on the Sun,"Friedman, Michael Jan",1994,0671869108,Tie-In Novels,,-,-,,t/FRIE3/,,FRIE3,,,,F,,,,,,y,,,,,
Kahless,"Friedman, Michael Jan",1997,9780671008871,Tie-In Novels,,-,-,,t/FRIE3/,,FRIE3,,,,F,,,,,,y,,,,,
Planet X,"Friedman, Michael Jan",1998,9780671019167,Tie-In Novels,,-,-,,t/FRIE3/,,FRIE3,,,,F,,,,,,y,,,,,
Crossover,"Friedman, Michael Jan",2000,0671896768,Tie-In Novels,,-,-,,t/FRIE3/,,FRIE3,,,,F,,,,,,y,,,,,
Relics,"Friedman, Michael Jan",2000,0671864769,Tie-In Novels,,-,-,,t/FRIE3/,,FRIE3,,,,F,,,,,,y,,,,,
The First Virtue: Double Helix #6,"Friedman, Michael Jan & Golden, Christie ",2000,0671032585,Tie-In Novels,,-,-,,t/FRIE3/,,FRIE3,,,,F,,,,,,y,,,,,
Requiem,"Friedman, Michael Jan & Ryan, Kevin ",1994,0671795678,Tie-In Novels,,-,-,,t/FRIE3/,,FRIE3,,,,F,,,,,,y,,,,,
REUNION (STAR TREK NEXT GENERATION ),"Friedman, Michael Jan & Stern, Dave",1992,0671787551,Tie-In Novels,,-,-,,t/FRIE3/,,FRIE3,,,,F,,,,,,y,,,,,
Foreign Foes,"Galanter, Dave & Brodeur, Greg",1994,067188414X,Tie-In Novels,,-,-,,t/GALA1/,,GALA1,,,,G,,,,,,y,,,,,
Last of the Gaderene,"Gatiss, Mark",2000,9780563555872,Tie-In Novels,,-,-,,t/GATI1/,,GATI1,,,,G,,,,,,y,,,,,
The 34th Rule: A Novel,"George, David R. III & Shimerman, Armin ",1999,0671007939,Tie-In Novels,,-,-,,t/GEOR1/,,GEOR1,,,,G,,,,,,y,,,,,
The Galactic Whirlpool,"Gerrold, David",1993,9781852864866,Tie-In Novels,,-,-,,t/GERR1/,,GERR1,,,,G,,,,,,y,,,,,
The Starship Trap,"Gilden, Mel",1993,9781852864606,Tie-In Novels,,-,-,,t/GILD1/,,GILD1,,,,G,,,,,,y,,,,,
Seven of Nine,"Golden, Christie",1998,0671024914,Tie-In Novels,,-,-,,t/GOLD2/,,GOLD2,,,,G,,,,,,y,,,,,
Siege,"Golden, Christopher",1996,1572971142,Tie-In Novels,,-,-,,t/GOLD3/,,GOLD3,,,,G,,,,,,y,,,,,
Sanctuary,"Golden, Christopher",1996,1572971800,Tie-In Novels,,-,-,,t/GOLD3/,,GOLD3,,,,G,,,,,,y,,,,,
"Buffy, the Vampire Slayer: The Watcher's Guide, Volume 1","Golden, Christopher & Holder, Nancy",1998,9780671024338,Tie-In Novels,,-,-,,t/GOLD3/,,GOLD3,,,,G,,,,,,y,,,,,
Immortal: A Buffy the Vampire Slayer Novel,"Golden, Christopher & Holder, Nancy",1999,9780671041175,Tie-In Novels,,-,-,,t/GOLD3/,,GOLD3,,,,G,,,,,,y,,,,,
Monster Island,"Golden, Christopher & Sniegoski, Thomas E.",2003,9780743467766,Tie-In Novels,,-,-,,t/GOLD3/,,GOLD3,,,,G,,,,,,y,,,,,
Death Count,"Graf, L. A.",1992,0671793225,Tie-In Novels,,-,-,,t/GRAF1/,,GRAF1,,,,G,,,,,,y,,,,,
Ice Trap,"Graf, L. A.",1992,9781852864279,Tie-In Novels,,-,-,,t/GRAF1/,,GRAF1,,,,G,,,,,,y,,,,,
Firestorm,"Graf, L. A.",1994,0671865889,Tie-In Novels,,-,-,,t/GRAF1/,,GRAF1,,,,G,,,,,,y,,,,,
Traitor Winds,"Graf, L. A.",1994,0671869132,Tie-In Novels,,-,-,,t/GRAF1/,,GRAF1,,,,G,,,,,,y,,,,,
Armageddon sky,"Graf, L. A.",1997,9780671006754,Tie-In Novels,,-,-,,t/GRAF1/,,GRAF1,,,,G,,,,,,y,,,,,
The Romulan Stratagem,"Greenberger, Robert",1995,9780671879976,Tie-In Novels,,-,-,,t/GREE8/,,GREE8,,,,G,,,,,,y,,,,,
Doctor Who: Time Flight,"Grimwade, Peter",1983,0426192974,Tie-In Novels,,-,-,,t/GRIM1/,,GRIM1,,,,G,,,,,,y,,,,,
The Joy Machine,"Gunn, James E. & Sturgeon, Theodore ",1996,067100221X,Tie-In Novels,,-,-,,t/GUNN1/,,GUNN1,,,,G,,,,,,y,,,,,
Ishmael,"Hambly, Barbara",1989,9781852861834,Tie-In Novels,,-,-,,t/HAMB1/,,HAMB1,,,,H,,,,,,y,,,,,
Ghost walker,"Hambly, Barbara",1991,0671643983,Tie-In Novels,,-,-,,t/HAMB1/,,HAMB1,,,,H,,,,,,y,,,,,
Crossroad,"Hambly, Barbara",1994,0671793233,Tie-In Novels,,-,-,,t/HAMB1/,,HAMB1,,,,H,,,,,,y,,,,,
Children of the Jedi,"Hambly, Barbara",1995,9780553408799,Tie-In Novels,,-,-,,t/HAMB1/,,HAMB1,,,,H,,,,,,y,,,,,
